Time Mult	Time Read	Time Total
s : m--m	s : m --m	s : m --m
00:15--15	01:312--1312	01:327--1327
00:06--06	01:320--1320	01:326--1326
00:10--10	01:313--1313	01:323--1323
00:07--07	01:333--1333	01:340--1340
00:04--04	01:316--1316	01:320--1320
00:22--22	01:330--1330	01:352--1352
00:03--03	01:349--1349	01:352--1352
00:16--16	01:341--1341	01:357--1357
00:16--16	01:314--1314	01:330--1330
00:03--03	01:343--1343	01:346--1346
00:20--20	01:342--1342	01:362--1362
00:18--18	01:331--1331	01:349--1349
00:16--16	01:323--1323	01:339--1339
00:03--03	01:329--1329	01:332--1332
00:02--02	01:299--1299	01:301--1301
00:03--03	01:319--1319	01:322--1322
00:19--19	01:315--1315	01:334--1334
00:05--05	01:338--1338	01:343--1343
00:03--03	01:346--1346	01:349--1349
00:04--04	01:321--1321	01:325--1325
00:03--03	01:344--1344	01:347--1347
00:06--06	01:342--1342	01:348--1348

Aqui utilizando Threads (Object) 
00:603--603	01:338--1338	01:941--1941
00:641--641	01:351--1351	01:992--1992
00:639--639	01:323--1323	01:962--1962
00:633--633	01:337--1337	01:970--1970
00:606--606	01:335--1335	01:941--1941
00:633--633	01:332--1332	01:965--1965
00:638--638	01:331--1331	01:969--1969
00:664--664	01:329--1329	01:993--1993
00:814--814	01:353--1353	02:167--2167
00:675--675	01:331--1331	02:06--2006

Voltando para Executor (Runnable)
00:04--04	01:337--1337	01:341--1341
00:15--15	01:330--1330	01:345--1345
00:14--14	01:321--1321	01:335--1335
00:12--12	01:324--1324	01:336--1336
00:15--15	01:318--1318	01:333--1333
00:03--03	01:329--1329	01:332--1332
00:02--02	01:353--1353	01:355--1355
00:03--03	01:336--1336	01:339--1339
00:02--02	01:341--1341	01:343--1343
00:03--03	01:321--1321	01:324--1324
00:11--11	01:321--1321	01:332--1332
00:06--06	01:324--1324	01:330--1330
00:07--07	01:328--1328	01:335--1335
00:05--05	01:318--1318	01:323--1323
00:06--06	01:313--1313	01:319--1319
00:02--02	01:332--1332	01:334--1334
00:04--04	01:329--1329	01:333--1333
00:03--03	01:332--1332	01:335--1335
00:07--07	01:319--1319	01:326--1326
00:03--03	01:335--1335	01:338--1338

Dropbox e Copy Desligados
00:03--03	01:327--1327	01:330--1330
00:02--02	01:320--1320	01:322--1322
00:03--03	01:315--1315	01:318--1318
00:16--16	01:313--1313	01:329--1329
00:13--13	01:342--1342	01:355--1355
00:04--04	01:317--1317	01:321--1321
00:03--03	01:309--1309	01:312--1312
00:06--06	01:322--1322	01:328--1328
00:03--03	01:321--1321	01:324--1324
00:05--05	01:307--1307	01:312--1312

X desabilitado
00:15--15	01:329--1329	01:344--1344
00:03--03	01:313--1313	01:316--1316
00:16--16	01:319--1319	01:335--1335
00:03--03	01:311--1311	01:314--1314
00:02--02	01:314--1314	01:316--1316
00:02--02	01:314--1314	01:316--1316
00:04--04	01:324--1324	01:328--1328
00:05--05	01:308--1308	01:313--1313
00:02--02	01:318--1318	01:320--1320
00:03--03	01:311--1311	01:314--1314
